n,t,GrossOutput,Expenditure,IntermediateUse,FinalExpenditure,ValueAdded,Deficit,GrossOutputManuf,ExpenditureManuf,IntermediateUseManuf,FinalExpenditureManuf,ValueAddedManuf,DeficitManuf,α,β
ESP,2012,2.524467545600007e6,2.5241211459197663e6,1.2530671430023299e6,1.2710540029174488e6,1.271400402597677e6,346.3996802282054,671178.2351999951,647675.804765102,434924.5332205273,212751.27154457459,236253.70197946782,-23502.43043489312,0.16738177217981837,0.35199845523755674
ESP,2013,2.549224201200015e6,2.5338400187159115e6,1.2558537009649198e6,1.2779863177509957e6,1.2933705002350952e6,15384.182484099409,678187.624500001,648508.8092989706,435857.71908632683,212651.09021264766,242329.90541367413,-29678.815201030346,0.16639543574055762,0.35731985760184537
ESP,2014,2.567905476000013e6,2.5610861570064942e6,1.2636559244448186e6,1.297430232561708e6,1.3042495515551942e6,6819.318993486231,679712.478800687,662562.6906931316,440931.1887297552,221631.50196337502,238781.29007093183,-17149.78810755536,0.1708234449923178,0.3512974934523013
EST,2000,11786.237275043151,12991.769790635624,6519.109324559136,6472.660466076451,5267.127950484015,-1205.5325155924356,2766.742702217062,4024.3049775688005,2051.887801078697,1972.4171764901198,714.8549011383648,1257.5622753517387,0.3047305179728893,0.2583741887402588
EST,2001,13060.799337741359,14303.941496900969,7289.8610874613605,7014.080409439687,5770.938250279998,-1243.142159159689,3164.6741043842644,4454.311027177859,2279.3536429759474,2174.9573842019154,885.320461408317,1289.6369227935943,0.31008446684968355,0.27975091026965937
EST,2002,15297.98664046596,16751.23222147565,8486.816485414736,8264.415736060868,6811.170155051224,-1453.2455810096435,3638.221242339837,5063.207366733258,2619.4177796644076,2443.789587068838,1018.8034626754293,1424.986124393421,0.2957002243250701,0.2800279023219076
EST,2003,20138.223226032176,21754.156523999,10933.302914491665,10820.85360950747,9204.92031154051,-1615.9332979669598,4814.904760133224,6634.243849003076,3425.386650343535,3208.857198659537,1389.5181097896889,1819.3390888698523,0.29654381386697215,0.2885868317260843
EST,2004,24827.333029285855,26469.57690179505,13580.934079444078,12888.642822351052,11246.398949841778,-1642.2438725092743,6081.0104610498865,8284.013456427154,4497.146582698138,3786.866873728998,1583.863878351748,2203.0029953772673,0.2938142460711178,0.2604606402992923
EST,2005,28656.3510239007,30077.176346548033,15631.866468600678,14445.309877947426,13024.484555300023,-1420.8253226474026,7052.59943680257,9234.455603810904,5321.662374273782,3912.7932295371515,1730.9370625287884,2181.8561670083336,0.27086945607934104,0.24543249308846915
EST,2006,34086.51278338968,36465.33507558744,18449.038697752665,18016.29637783499,15637.474085637012,-2378.8222921979796,8376.162134147076,11586.91025032257,6461.345811474023,5125.564438848621,1914.816322673053,3210.748116175493,0.284496010242953,0.22860306331308067
EST,2007,43944.428743720746,46308.57314970531,23352.921672530032,22955.651477175586,20591.507071190714,-2364.1444059848727,10543.305079519827,14299.477083682252,8041.600344510597,6257.876739171598,2501.70473500923,3756.172004162425,0.2726072377163287,0.2372789856824635
EST,2008,48629.53552275335,49781.47698007233,25875.23630416854,23906.240675903733,22754.299218584812,-1151.9414573189206,11461.527944588868,14583.109372383713,8710.607867548597,5872.5015048350815,2750.9200770402713,3121.581427794845,0.2456472175800632,0.2400133813170185
EST,2009,36981.58415105446,36901.853861153344,18898.25630262242,18003.597558530924,18083.327848432044,79.73028990111925,7915.374725332508,9437.876844732069,5642.215668185303,3795.6611765467997,2273.159057147205,1522.5021193995608,0.21082792837414002,0.28718274699896973
EST,2010,38925.13547161495,38485.38804224013,20914.327130206282,17571.06091203394,18010.80834140867,439.7474293747291,9731.48272391108,10740.268208691194,6848.205178466769,3892.0630302244504,2883.277545444311,1008.7854847801136,0.22150415673301108,0.29628347778492714
EST,2011,47853.44081408831,47265.27663189181,26349.359170970252,20915.917460921937,21504.081643118057,588.1641821961202,13198.13638421457,14435.951950630651,9528.63072394128,4907.321226689427,3669.5056602732893,1237.8155664160822,0.23462137082238804,0.2780321064617991
EST,2012,47221.205045343566,47579.31333413971,26132.22299352609,21447.09034061335,21088.982051817475,-358.10828879587643,12468.179245754265,14648.10366938855,9360.051543160873,5288.052126227654,3108.1277025933923,2179.9244236342856,0.24656268250122104,0.2492848106632562
EST,2013,52216.66703700203,52260.893805324835,28810.466704302435,23450.427101023048,23406.200332699595,-44.22676832345314,13680.637508277434,15749.786522343282,10098.967401549367,5650.81912079396,3581.6701067280665,2069.149014065848,0.24096870800905104,0.26180578972003216
EST,2014,54483.16923957978,54322.30165464606,29706.49847731635,24615.803177329515,24776.67076226343,160.86758493391608,14370.729757688052,16525.43044787621,10379.140326553626,6146.290121322559,3991.5894311344255,2154.7006901881578,0.24968879045080783,0.27775829748652847
FIN,2000,236980.05879999872,223515.80203510597,121228.73759181859,102287.06444328706,115751.32120818013,13464.25676489307,89873.6687999997,70489.27969485566,51850.61144667791,18638.668248177684,38023.05735332178,-19384.38910514403,0.18221921168254732,0.4230722731252506
FIN,2001,236684.69000000157,223182.76630227594,117623.41600542312,105559.35029685151,119061.27399457846,13501.923697726947,85303.21319999927,67584.5190034785,48961.32120810869,18623.19779536983,36341.89199189058,-17718.694196520766,0.17642395243053421,0.42603192340110924
FIN,2002,254773.0079999992,240426.8014807927,126044.83398024975,114381.9675005432,128728.17401974944,14346.206519206244,88158.28799999946,69527.25097193058,50146.04922332742,19381.201748603035,38012.23877667204,-18631.03702806888,0.16944280791909785,0.43118168057746625
